id,file,title,routed,inNav,syntaxOk,hasNav,hasViewportMeta,hasDarkMode,hasMediaQuery,hasFullViewport,hasKeyboard,hasMouse,hasTouchPointer,hasInteractive,hasAnimation,usesCanvas,usesSvg,usesVideo
051,051.js,051 – The DNA Helix — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
052,052.js,052 – Bacterial Growth Curve — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false
053,053.js,053 – Cellular Automata — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false
054,054.js,054 – Neural Pathways — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
055,055.js,055 – The Fractal Tree — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,false
056,056.js,056 – The Thunderstorm — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
057,057.js,057 – Predator-Prey Dynamics — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false
058,058.js,058 – The Entropy Collapse — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false
059,059.js,059 – The Microscope View — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
060,060.js,060 – The Self-Reinforcing Loop — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false
061,061.js,061 – The Worst Chart Ever — Claude Lost Its Mind,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,false
062,062.js,062 – The Tracked Changes Doc — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false
063,063.js,063 – The Gantt Chart — Claude Lost Its Mind,false,false,true,true,true,false,false,false,false,false,true,true,true,false,false,false
064,064.js,064 – KPI Dashboard — Claude Lost Its Mind,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false
065,065.js,065 – The Pivot Table — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false
066,066.js,066 – The Org Chart — Claude Lost Its Mind,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,false
067,067.js,067 – The Email Thread — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false
068,068.js,068 – The Performance Review — Claude Lost Its Mind,true,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false
069,069.js,069 – The Infographic — Claude Lost Its Mind,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false
070,070.js,070 – Death by PowerPoint — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false
071,071.js,071 – The Clinical Assessment — Claude Lost Its Mind,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false
072,072.js,072 – The Obsessive Loop Chart — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false
073,073.js,073 – The Rorschach — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false
074,074.js,074 – The Repetition Compulsion — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false
075,075.js,075 – The CBT Map — Claude Lost Its Mind,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false
076,076.js,076 – The Academic Abstract — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false
077,077.js,077 – The Research Poster — Claude Lost Its Mind,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,false
078,078.js,078 – The Systematic Review — Claude Lost Its Mind,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false
079,079.js,079 – The Citation Graph — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
080,080.js,080 – The Peer Review — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false
081,081.js,081 – The Piano Roll — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
082,082.js,082 – The Waveform — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
083,083.js,083 – The Equalizer — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false
084,084.js,084 – The Vinyl Record — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
085,085.js,085 – Sheet Music — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false
086,086.js,086 – The DJ Crossfader — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
087,087.js,087 – Concert Poster — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false
088,088.js,088 – The Radio Tuner — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false
089,089.js,089 – The Metronome — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
090,090.js,090 – The Album Art — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false
091,091.js,091 – The Galaxy Map — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false
092,092.js,092 – The Screenplay — Claude Lost Its Mind,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false
093,093.js,093 – Choose Your Adventure — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false
094,094.js,094 – The Newspaper — Claude Lost Its Mind,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false
095,095.js,095 – The Tarot Reading — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false
096,096.js,096 – The QR Code — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,false
097,097.js,097 – The CAPTCHA — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false
098,098.js,098 – The Blank Page — Claude Lost Its Mind,true,true,true,true,true,false,false,true,true,true,false,true,true,false,false,false
099,099.js,099 – The Loading Spinner — Claude Lost Its Mind,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false
100,100.js,100 – The Mirror — Claude Lost Its Mind,true,true,true,true,true,false,false,true,false,false,true,true,true,true,false,true
